mts,open,close,high,low,volume
1630483200000,47197.0,47332.91615379,47342.0,47132.0,19.72055641
1630484100000,47325.01785683,47251.0,47407.0,47251.0,30.48855178
1630485000000,47250.67751478,47182.0,47368.0,47182.0,19.77018727
1630485900000,47182.18283646,47381.0,47401.0,47174.0,24.74296212
1630486800000,47377.0,47456.0,47580.0,47346.82273016,58.86642323
1630487700000,47455.0,47616.0,47652.0,47451.0,34.79909716
1630488600000,47625.0,47613.0,47667.0,47531.1103472,18.58158279
1630489500000,47609.0,47665.665239,47700.0,47546.0,21.56655704
1630490400000,47665.665239,47727.0,47728.0,47600.0,37.45269697
1630491300000,47727.0,47703.0,47727.0,47665.0,19.27316207
1630492200000,47704.0,47679.0,47750.0,47678.0,32.50200446
1630493100000,47679.0,47529.0,47679.16329782,47529.0,18.64529873
1630494000000,47529.0,47588.0,47627.8521232,47529.0,24.83817116
1630494900000,47588.0,47700.0,47750.0,47588.0,63.00368271
1630495800000,47700.0,47700.0,47727.0,47651.0,91.3535925
1630496700000,47700.0,47743.85668453,47750.0,47700.0,102.97886324
1630497600000,47744.0,47680.0,47775.0,47614.0,320.39640403
1630498500000,47680.0,47776.0,47827.0,47680.0,350.98537832
1630499400000,47787.56187735,47728.0392911,47817.0,47728.0392911,13.60396104
1630500300000,47728.0392911,47728.0,47758.14341015,47725.31478942,8.04381586
1630501200000,47728.0,47591.68544125,47799.0,47562.74846186,109.08119620000001
1630502100000,47592.0,47509.0,47641.0,47351.0,90.66534265
1630503000000,47510.0,47534.0,47612.72338866,47510.0,22.66635171
1630503900000,47532.6499032,47484.0,47588.0,47459.91601168,111.1972746
1630504800000,47484.0,47490.0,47529.0,47444.0,93.10931434
1630505700000,47487.0,47563.0,47600.0,47484.37424628,22.4049818
1630506600000,47564.0,47466.0,47656.0,47444.0,69.53759102
1630507500000,47454.0,47314.0,47457.0,47310.41992598,143.57914084
1630508400000,47315.0,47357.0,47389.0,47314.0,9.89490799
1630509300000,47357.0,47386.0,47438.0,47357.0,10.87961153
1630510200000,47385.04572096,47437.0,47510.09788042,47352.0,18.90076969
1630511100000,47438.0,47520.0,47521.0,47438.0,10.55909537
1630512000000,47509.0,47525.0,47541.0,47495.0,38.27339691
1630512900000,47525.5307852,47462.0,47572.0,47418.31036928,48.85426385
1630513800000,47450.0,48259.08028704,48325.0,47450.0,265.50853135
1630514700000,48259.08028704,48469.82602854,48599.0,48259.08028704,279.12476051
1630515600000,48469.0,48559.0,48638.0,48351.0,124.38788989
1630516500000,48560.0,48859.0,48888.0,48558.0,101.28025275
1630517400000,48861.0,48828.0,48888.0,48731.0,61.33948542
1630518300000,48829.1887143,48756.0,49139.0,48720.8915325,180.30906031
1630519200000,48757.0,48859.0,48869.88015808,48757.0,27.9148574
1630520100000,48859.0,48727.0,48915.0,48727.0,27.544721680000002
1630521000000,48727.0,48772.0,48797.0,48657.0,59.67706611
1630521900000,48781.0,48679.0,48781.0,48679.0,25.34763622
1630522800000,48680.0,48487.0,48694.0,48482.0,96.33901861
1630523700000,48487.39645076,48447.26753056,48546.60974296,48414.0,20.54014112
1630524600000,48440.0,48190.0,48440.0,48074.0,156.47354083
1630525500000,48193.0,48179.0,48280.0,48169.0,27.67917082
1630526400000,48172.0,48299.0,48300.0,48131.0,51.79037046
1630527300000,48300.0,48339.90761584,48339.90761584,48227.38989893,31.8228413
1630528200000,48339.0,48266.0,48339.90761584,48246.0,6.86514615
1630529100000,48266.0,48292.0,48334.0,48248.0,14.32450172
1630530000000,48291.30187033,48352.0,48360.0,48283.0,5.03566191
1630530900000,48359.0,48405.0,48481.0,48347.0,18.35892252
1630531800000,48406.0,48339.0,48536.0,48336.0,15.69392493
1630532700000,48339.0,48446.0,48459.0,48291.0,38.5945973
1630533600000,48448.0,48768.34039535,48775.98261807,48446.0,47.4590585
1630534500000,48768.87828501,48613.0,48775.98261807,48565.0,76.25119582
1630535400000,48610.0,48450.0,48610.33822168,48318.0,32.34239593
1630536300000,48451.0,48436.0,48529.0,48365.82340438,7.59000599
1630537200000,48429.0,48590.0,48663.0,48411.77483216,34.07970261
1630538100000,48590.09156234,48672.0,48675.0,48517.0,31.71225321
1630539000000,48673.0,48574.0,48690.0,48520.0,28.19919134
1630539900000,48574.0,48823.0,48929.0,48574.0,71.59736817
1630540800000,48827.0,48894.0,49000.0,48631.0,126.50225491
1630541700000,48892.0,48804.0,48950.0,48788.0,28.96940904
1630542600000,48804.0,48843.0,48880.0,48750.0,25.840603
